Bénéficiaire;Département;Nature du projet;Coût du projet;Subvention allouée;Part prise en charge;Parlementaire transmetteur;Nature;Département Parlementaire;Groupe politique du parlementaire;Lien vers données parlementaires
SOUMONT;34;l'aménagement de la nouvelle mairie (tranche conditionnelle);70101;20000;0,2853026348;LECOU Robert;Assemblée nationale;34;UMP;http://2007.nosdeputes.fr/LECOU%20Robert/xml
SOUMOULOU;64;la mise aux normes des bâtiments communaux;49423,3;12000;0,2428004605;BAYROU François;Assemblée nationale;64;NI;http://2007.nosdeputes.fr/BAYROU%20François/xml
SOURCIEUX-LES-MINES;69;l'extension du réseau d'assainissement des eaux usées jusqu'à la Falconnière (tranche conditionnelle);69891,8;34945;0,499987123;FISCHER Guy;Sénat;69;CRC;http://nossenateurs.fr/FISCHER%20Guy/xml
SOURCIEUX-LES-MINES;69;aménagements de sécurité sur la RD 7E;26475;4000;0,1510859301;PEYRONNET Jean-Claude;Sénat;87;SOC;http://nossenateurs.fr/PEYRONNET%20Jean-Claude/xml
SOURNIA;66;la réhabilitation du logement du presbytère;41942,01;10000;0,2384244341;BLANC Paul;Sénat;66;UMP;http://nossenateurs.fr/BLANC%20Paul/xml
SOURNIA;66;l'acquisition d'un immeuble situé route de Prades en vue de l'extension et de la mise en accessibilité de l'Auberge;60000;30000;0,5;LARCHER Gérard;Sénat;78;UMP;http://nossenateurs.fr/LARCHER%20Gérard/xml
SOURSAC;19;la réhabilitation du château d'eau du Mons;51000;8000;0,1568627451;BOURZAI Bernadette;Sénat;19;SOC;http://nossenateurs.fr/BOURZAI%20Bernadette/xml
SOURZAC;24;l'acquisition d'un véhicule utilitaire;6521,74;3000;0,4599999387;ASSOULINE David;Sénat;75;SOC;http://nossenateurs.fr/ASSOULINE%20David/xml
SOUS-PARSAT;23;la rénovation et la mise aux normes de l'auberge communale;38209;6169;0,1614541077;ASSOULINE David;Sénat;75;SOC;http://nossenateurs.fr/ASSOULINE%20David/xml
SOUSSANS;33;l'acquisition de matériel de vidéo-projection pour la salle polyvalente;4133,3;2066;0,4998427407;GOT Pascale;Assemblée nationale;33;SRC;http://2007.nosdeputes.fr/GOT%20Pascale/xml
