Geo Point;Geo Shape;crossing;@id;highway
50.6119717, 2.9736038;"{""type"": ""Point"", ""coordinates"": [2.9736038, 50.6119717]}";zebra;node/1578545245;crossing
50.5982812, 2.9992714;"{""type"": ""Point"", ""coordinates"": [2.9992714, 50.5982812]}";;node/1579250588;crossing
50.6075865, 2.9557533;"{""type"": ""Point"", ""coordinates"": [2.9557533, 50.6075865]}";;node/1583833078;crossing
50.6076079, 2.9559036;"{""type"": ""Point"", ""coordinates"": [2.9559036, 50.6076079]}";;node/1583833079;crossing
50.6015879, 2.9983293;"{""type"": ""Point"", ""coordinates"": [2.9983293, 50.6015879]}";;node/1584668258;crossing
50.597006, 3.0945539;"{""type"": ""Point"", ""coordinates"": [3.0945539, 50.597006]}";;node/1587560995;crossing
50.6063694, 3.0388409;"{""type"": ""Point"", ""coordinates"": [3.0388409, 50.6063694]}";unknown;node/1588553477;crossing
50.6073886, 3.0386907;"{""type"": ""Point"", ""coordinates"": [3.0386907, 50.6073886]}";unknown;node/1588553481;crossing
50.6077639, 3.0389078;"{""type"": ""Point"", ""coordinates"": [3.0389078, 50.6077639]}";unknown;node/1588553501;crossing
50.6870176, 2.8814594;"{""type"": ""Point"", ""coordinates"": [2.8814594, 50.6870176]}";;node/1594341401;crossing
50.6859211, 2.891943;"{""type"": ""Point"", ""coordinates"": [2.891943, 50.6859211]}";;node/1597383708;crossing
50.7046043, 2.8853437;"{""type"": ""Point"", ""coordinates"": [2.8853437, 50.7046043]}";;node/1597454026;crossing
50.7048322, 2.8851694;"{""type"": ""Point"", ""coordinates"": [2.8851694, 50.7048322]}";;node/1597454042;crossing
50.7198116, 3.1095443;"{""type"": ""Point"", ""coordinates"": [3.1095443, 50.7198116]}";;node/1597570105;crossing
50.7336583, 3.0877448;"{""type"": ""Point"", ""coordinates"": [3.0877448, 50.7336583]}";;node/1597579712;crossing
50.7402126, 3.0836947;"{""type"": ""Point"", ""coordinates"": [3.0836947, 50.7402126]}";traffic_signals;node/1597587540;crossing
50.6798949, 3.0862401;"{""type"": ""Point"", ""coordinates"": [3.0862401, 50.6798949]}";zebra;node/1597649714;crossing
