id,niveau,parcours,Semestre,Intitulés des UE ,UE nom court,Coeff,ECTS,Intitulés des EC de chaque UE ,EC nom court,Statut,Coeff,ECTS,%CM,%TD,%TP,VH EC,Seuil,EC Libre,Mutualisation Hors EC Libre,Commentaires,Nbs de groupes ,Coût HTD,VH CM,VH TD,VH TP,Mutualisation destination,Mutualisation source,Coût HTD formation
95,M2,PTN,4,Conduite d'un projet éditorial,Conduite projet éditorial,1,25,Conduite de projets,Conduite de projets,O,3,3,"0,5","0,5",,20,30,Non Ouvert,,,1,25,10,10,0,,,0
96,M2,PTN,4,Conduite d'un projet éditorial,Conduite projet éditorial,1,,Propriété intellectuelle du texte numérique,Propriété intellectuelle,O,2,2,"0,5","0,5",,20,30,Non Ouvert,,,1,25,10,10,0,,,0
97,M2,PTN,4,Conduite d'un projet éditorial,Conduite projet éditorial,1,,Anglais,Anglais,O,2,2,"0,5","0,5",,20,30,Non Ouvert,,,1,25,10,10,0,,,0
98,M2,PTN,4,Conduite d'un projet éditorial,Conduite projet éditorial,1,,Stage et rapport de stage OU travail de recherche-création (réalisation + mémoire),Stage,O,18,18,,,,,,,,,0,0,0,0,0,,,0
99,M2,AVUN,3,Sociotechniques,Sociotechniques,1,13,Méthodes et outils d’analyses statistiques et de fouille de données,Méthodes analyses statistiques,O,5,5,"0,5","0,3","0,2",30,30,Non Ouvert,Non,,1,"35,5",15,9,6,,,0
100,M2,AVUN,3,Sociotechniques,Sociotechniques,1,,Datavisualisation (Atelier-Laboratoire CréaTIC),Datavisualisation,O,4,4,"0,5","0,3","0,2",30,35,Ouvert,"Offert, sur P8",Ouvert pour CréaTIC,1,"35,5",15,9,6,CréaTIC,,0
101,M2,AVUN,3,Sociotechniques,Sociotechniques,1,,Ergonomie du web et des interfaces,Ergonomie du web,O,4,4,"0,5","0,3","0,2",21,30,Non Ouvert,Non,,1,25,11,6,4,,,0
102,M2,AVUN,3,Méthodologies de recherche,Méthodologies recherche,1,11,Méthodes d'enquête et d'analyse des données qualitatives,Méthodes enquête,O,5,5,"0,5","0,3","0,2",21,30,Non Ouvert,Non,,1,25,11,6,4,,,0
103,M2,AVUN,3,Méthodologies de recherche,Méthodologies recherche,1,,Créativité et travail collaboratif assistés par les TIC,Créativité et travail collaboratif,O,4,4,"0,5","0,3","0,2",30,35,Ouvert,"Offert, sur P8",Projet d'atelier laboratoire CréaTIC,1,"35,5",15,9,6,,CréaTIC,"35,5"
104,M2,AVUN,3,Méthodologies de recherche,Méthodologies recherche,1,,EC Libre,EC Libre,O,2,2,,,,30,35,Non Ouvert,Pris sur P8,Sur l'offre de Paris 8,1,0,0,0,0,,P8,0
105,M2,AVUN,3,Formation et recherche,Formation et recherche,1,6,Anglais scientifique et technique,Anglais,O,2,2,"0,5","0,5",,30,30,Non Ouvert,Non,,1,"37,5",15,15,0,,,0
