"concept","type","valeur"
"wiktionary.org","page web","l'avare et le cochon ne sont bons qu'après leur mort"
"wiktionary.org","page web","qui paye mal, aura payé deux fois"
"wiktionary.org","page web","il ne faut pas pousser mémé dans les orties"
"wiktionary.org","page web","revenons à nos moutons"
"wiktionary.org","page web","loin des yeux, loin du cœur"
"wiktionary.org","page web","une chatte n'y retrouverait pas ses petits"
"wiktionary.org","page web","bon sang ne saurait mentir"
"wiktionary.org","page web","la vengeance est un plat qui se mange froid"
"wiktionary.org","page web","tant quœil y a de la vie, il y a de l'espoir"
"wiktionary.org","page web","à bon vin point d ?enseigne"
"wiktionary.org","page web","l'eau coule sous les ponts"
"wiktionary.org","page web","qui peut le plus, peut le moins"
"wiktionary.org","page web","il ne faut pas remettre au lendemain ce qu'on peut faire le jour même"
"wiktionary.org","page web","on voit la paille dans l'œil de son voisin et non la poutre dans le nôtre"
"wiktionary.org","page web","chien qui aboie ne mord pas"
"wiktionary.org","page web","lorsque Dieu veut nous punir, Il exauce nos prières"
"wiktionary.org","page web","une fois n'est pas coutume"
"wiktionary.org","page web","bûche tordue fait bon feu"
"wiktionary.org","page web","la véritable amitié se voit dans le malheur"
"wiktionary.org","page web","tant va la cruche à l'eau, qu'à la fin elle se brise"
"wiktionary.org","page web","à chaque jour suffit sa peine"
"wiktionary.org","page web","l'enfer est pavé de bonnes intentions"
"wiktionary.org","page web","qui pisse contre le vent mouille sa chemise"
"wiktionary.org","page web","il ne faut pas réveiller le chat qui dort"
"wiktionary.org","page web","pas besoin de tortiller du cul pour chier droit"
"wiktionary.org","page web","cœur qui soupire n'a point ce qu'il desire"
"wiktionary.org","page web","lorsque qu'un vieux fait l'amour, la mort court alentour"
"wiktionary.org","page web","une hirondelle ne fait pas le printemps"
"wiktionary.org","page web","le bois tordu fait le feu droit"
"wiktionary.org","page web","le chat parti, les souris dansent"
"wiktionary.org","page web","tant va la cruche à l'eau qu'à la fin elle se casse"
"wiktionary.org","page web","à chaque problème, une solution"
"wiktionary.org","page web","l'erreur est humaine"
"wiktionary.org","page web","qui se ressemble s'assemble"
"wiktionary.org","page web","il ne faut pas se moquer de la peine du voisin, car la vôtre arrive le lendemain matin"
"wiktionary.org","page web","pas de nouvelle, bonnes nouvelles"
"wiktionary.org","page web","chose promise, chose due"
"wiktionary.org","page web","mariage pluvieux, mariage heureux"
"wiktionary.org","page web","une feuille ne fait pas le printemps"
"wiktionary.org","page web","c'est au pied du mur qu'on voit le maçon"
"wiktionary.org","page web","le chemin de l'enfer est pavé de bonnes intentions"
"wiktionary.org","page web","tel est pris qui croyait prendre"
"wiktionary.org","page web","à cheval donné on ne regarde pas la denture"
"wiktionary.org","page web","l'espoir fait vivre"
"wiktionary.org","page web","qui sème le vent, récolte la tempête"
"wiktionary.org","page web","il ne faut pas vendre la peau de l'ours avant de l'avoir tué"
"wiktionary.org","page web","pas vu, pas pris"
"wiktionary.org","page web","comme on fait son lit, on se couche"
"wiktionary.org","page web","méfiance est mère de sûreté"
"wiktionary.org","page web","une image vaut mille mots"
"wiktionary.org","page web","c'est dans les vieux pots qu'on fait la meilleure soupe"
"wiktionary.org","page web","le chien aboie, la caravane passe"
"wiktionary.org","page web","tel père, tel fils"
"wiktionary.org","page web","à cheval donné, on ne regarde pas la bride"
"wiktionary.org","page web","l'exactitude est la politesse des rois"
"wiktionary.org","page web","qui s'y frotte s'y pique"
"wiktionary.org","page web","il n'y a pas de fonctionnaires travailleurs, il n'y a que des fonctionnaires insomniaques"
"wiktionary.org","page web","Paris ne s'est pas fait en un jour"
"wiktionary.org","page web","connais-toi toi-même"
"wiktionary.org","page web","méfie toi de l'eau qui dort"
"wiktionary.org","page web","ventre affamé n'a pas d ?oreilles"
"wiktionary.org","page web","c'est en forgeant qu'on devient forgeron"
"wiktionary.org","page web","le malheur des uns fait le bonheur des autres"
"wiktionary.org","page web","tel qui rit vendredi dimanche pleurera"
"wiktionary.org","page web","à cœur vaillant, rien d ?impossible"
"wiktionary.org","page web","l'habit fait l'homme"
"wiktionary.org","page web","il n'y a pas de fumée sans feu"
"wiktionary.org","page web","parle à mon cul, ma tête est malade"
"wiktionary.org","page web","croûte de pâté vaut bien pain"
"wiktionary.org","page web","mieux vaut arriver en retard qu'en corbillard"
"wiktionary.org","page web","ventre affamé n'a point d ?oreilles"
"wiktionary.org","page web","c'est l'occasion qui fait le larron"
"wiktionary.org","page web","le menteur doit avoir bonne mémoire"
"wiktionary.org","page web","tel qu'on fait son lit, on se couche"
"wiktionary.org","page web","à l'œuvre on connaît l'artisan"
"wiktionary.org","page web","l'habit ne fait pas le moine"
"wiktionary.org","page web","qui va à la chasse perd sa place"
"wiktionary.org","page web","il n'y a pas de mauvais temps, juste de mauvais équipements"
"wiktionary.org","page web","partir c'est mourir un peu"
"wiktionary.org","page web","de l'eau sur la mariée, de l'or dans le panier"
"wiktionary.org","page web","mieux vaut être seul que mal accompagné"
"wiktionary.org","page web","mieux vaut faire envie que pitié"
"wiktionary.org","page web","vouloir, c'est pouvoir"
"wiktionary.org","page web","c'est la goutte d ?eau qui fait déborder le vase"
"wiktionary.org","page web","le mieux est l'ennemi du bien"
"wiktionary.org","page web","tous les chemins mènent à Rome"
"wiktionary.org","page web","à l'impossible nul n'est tenu"
"wiktionary.org","page web","l'habit volé ne va pas au voleur"
"wiktionary.org","page web","qui va lentement va sûrement"
"wiktionary.org","page web","il n'y a pas de petits profits"
"wiktionary.org","page web","petit à petit, l'oiseau fait son nid"
"wiktionary.org","page web","découvrir Pierre pour couvrir Paul"
"wiktionary.org","page web","mieux vaut prévenir que guérir"
"wiktionary.org","page web","c'est là où gît le lièvre"
"wiktionary.org","page web","le poisson commence à puer par la tête"
"wiktionary.org","page web","tous les goûts sont dans la nature"
"wiktionary.org","page web","à la guerre comme à la guerre"
"wiktionary.org","page web","l'habitude est une seconde nature"
"wiktionary.org","page web","chi va piano, va sano e va lontano"
"wiktionary.org","page web","il n y a pas de petites économies, que des grosses dépenses"
"wiktionary.org","page web","pierre qui roule n'amasse pas mousse"
"wiktionary.org","page web","déshabiller Paul pour habiller Jean"
