,"Membre de",Laboratoire,Université,Affiliation,"A pour ville",Nom,"A pour clé de tri"
"François Jacquener","Université de Bourgogne,Centre de Recherche en Informatique de Dijon",,"Université de Bourgogne","Centre de Recherche en Informatique de Dijon",Dijon,"François Jacquener",
"Jean Michel Minovez","Université Toulouse II-Le Mirail",,"Université Toulouse II-Le Mirail",,Toulouse,"Jean Michel Minovez",
"Jean-Pierre Courtial","Université de Nantes,Centre de sociologie de l'innovation",,"Université de Nantes","Centre de sociologie de l'innovation",Nantes,"Jean-Pierre Courtial",
"Yves Jeanneret","Université Paris 1 Panthéon-Sorbonne",,,"Université Paris 1 Panthéon-Sorbonne",Paris,"Yves Jeanneret",
"Jean-Marc Jezequel","Université de Rennes 1,Institut de Recherche en Informatique et Automatique",,"Université de Rennes 1","Institut de Recherche en Informatique et Automatique",Rennes,"Jean-Marc Jezequel",
"René Joly","Télécom ParisTech,École Polytechnique.",,,"Télécom ParisTech,École Polytechnique.",,"René Joly",
"Julian Alvarez",,,,,,"Julian Alvarez",
"Christine Julien","Université Paul Sabatier,IRIT-SIG",,"Université Paul Sabatier",IRIT-SIG,Toulouse,"Christine Julien",
"Eugenij Kanevskij","Université européenne à Saint-Pétersbourg,Institut d’économie et de mathématiques de l’Académie des Sciences de la Russie",,"Université européenne à Saint-Pétersbourg","Institut d’économie et de mathématiques de l’Académie des Sciences de la Russie",Saint-Pétersbourg,"Eugenij Kanevskij",
"Catherine Kellner","Université Paul Verlaine",,,"Université Paul Verlaine",Metz,"Catherine Kellner",
"Peter R. King","Université du Manitoba",,"Université du Manitoba",,Winnipeg,"Peter R. King",
"Jean-Marc Labat","Université Pierre-et-Marie-Curie",,,"Université Pierre-et-Marie-Curie",Paris,"Jean-Marc Labat",
"Sarah Labelle","Université Paris 13",,,"Université Paris 13",Villetaneuse,"Sarah Labelle",
"Michel Labour","Université de Valenciennes et du Hainaut-Cambrésis",,,"Université de Valenciennes et du Hainaut-Cambrésis",Valenciennes,"Michel Labour",
"Romain Lacombe","École des Ponts ParisTech",,,"École des Ponts ParisTech",Paris,"Romain Lacombe",
"Jean-Charles Lamirel","Laboratoire lorrain de recherche en informatique et ses applications,Talaris (Loria)","Laboratoire lorrain de recherche en informatique et ses applications",,,Nancy,"Jean-Charles Lamirel",
"Horst Langendörfer","Université technique de Braunschweig",,,"Université technique de Braunschweig",,"Horst Langendörfer",
"Jean-Marc Laubin","Université de Valenciennes et du Hainaut-Cambrésis,Cabinet Laubin",,"Université de Valenciennes et du Hainaut-Cambrésis","Cabinet Laubin",,"Jean-Marc Laubin",
"Patrizia Laudati","Université de Valenciennes et du Hainaut-Cambrésis",,"Université de Valenciennes et du Hainaut-Cambrésis",,Valenciennes,"Patrizia Laudati",
"Roger Laufer","Université Paris 8",,,"Université Paris 8",Paris,"Roger Laufer",
"Laurent Gille","Télécom ParisTech",,,"Télécom ParisTech",Paris,"Laurent Gille",
"Michel Lavigne","Université Paul Sabatier",,"Université Paul Sabatier",,Toulouse,"Michel Lavigne",
"Bertrand Le Quellec","Université Paris 8,EDF-DER",,,"Université Paris 8,EDF-DER",Paris,"Bertrand Le Quellec",
"Sylvie Leleu-Merviel","Université de Valenciennes et du Hainaut-Cambrésis,Design visuel et urbain (laboratoire)","Design visuel et urbain (laboratoire)",,"Université de Valenciennes et du Hainaut-Cambrésis",Valenciennes,"Sylvie Leleu-Merviel",
"Bernard Jacquemin","Centre de recherche sur les médiations,Université de Haute-Alsace","Centre de recherche sur les médiations",,,Metz,"Bernard Jacquemin",
"Alain Lelu","Université de Franche-Comté,Université Paris 8,Laboratoire de sémiotique, linguistique, didactique et informatique","Laboratoire de sémiotique, linguistique, didactique et informatique","Université de Franche-Comté","Université Paris 8",Besançon,"Alain Lelu",
"Jean-Marc Lepers","Université Paris 8",,"Université Paris 8",,Paris,"Jean-Marc Lepers",
"Pierre Levy","Université d'Ottawa",,"Université d'Ottawa",,Ottawa,"Pierre Levy",
"Henry Lezin","Université européenne à Saint-Pétersbourg,Institut d'économie et de mathématiques de l 'Académie des Sciences de Russie",,"Université européenne à Saint-Pétersbourg","Institut d'économie et de mathématiques de l 'Académie des Sciences de Russie",Saint-Pétersbourg,"Henry Lezin",
"Loïc Vaillant","Université François-Rabelais de Tours,École Polytechnique de l'Université de Tours",,"Université François-Rabelais de Tours","École Polytechnique de l'Université de Tours",Tours,"Loïc Vaillant",
"Luc Ploquin","CNRS,Maison des Sciences de l’Homme Paris Nord",,,"CNRS,Maison des Sciences de l’Homme Paris Nord",,"Luc Ploquin",
"Pierre Lévy","Université Paris Ouest Nanterre La Défense",,,"Université Paris Ouest Nanterre La Défense",Paris,"Pierre Lévy",
"Madeleine Akrich","Centre de sociologie de l'innovation",,,"Centre de sociologie de l'innovation",Paris,"Madeleine Akrich",
"Francis Marcoin","Université d’Artois",,"Université d’Artois",,Arras,"Francis Marcoin",
"Luc Massou","Université de Lorraine,Centre de recherche sur les médiations,Université Paul Verlaine - Metz","Centre de recherche sur les médiations","Université de Lorraine",,Metz,"Luc Massou",
"Mathias BERNARD","Université Blaise Pascal",,"Université Blaise Pascal",,,"Mathias BERNARD",
"Olivier Mauco","Université Blaise Pascal,CNRS,Maison des Sciences de l’Homme Paris Nord",,"Université Blaise Pascal","CNRS,Maison des Sciences de l’Homme Paris Nord",,"Olivier Mauco",
"Charles Max","Université du Luxembourg,LCMI",,"Université du Luxembourg",,Walferdange,"Charles Max",
"Jean-Paul Mazeau","Université Paris 8,Laboratoire de télécommunication multimédia","Laboratoire de télécommunication multimédia","Université Paris 8","Laboratoire de télécommunication multimédia","Saint-Denis (Seine-Saint-Denis)","Jean-Paul Mazeau",
"Chahrazed Mediani","Université Ferhat Abbas de Sétif",,"Université Ferhat Abbas de Sétif",,Sétif,"Chahrazed Mediani",
"Arnaud Mercier","Université Paul Verlaine,Centre de recherche sur les médiations","Centre de recherche sur les médiations","Université Paul Verlaine",,Metz,"Arnaud Mercier",
"Yves Mineur","Université de Valenciennes et du Hainaut-Cambrésis",,"Université de Valenciennes et du Hainaut-Cambrésis",,Valenciennes,"Yves Mineur",
"Abderrazek Mkadmi","Université Paris 8,Université de la Manouba,Centre de recherche sur les médiations","Centre de recherche sur les médiations","Université Paris 8","Université de la Manouba",Paris,"Abderrazek Mkadmi",
