id;code;NbDoc;Pertinence;parent;lft;rgt;copie;geo;Explode 1;Explode 2;ajout;Supp
1105;Médecine-Pharmacie;5;6.8943253159523;;;;;;-;;;
2769;Medecine-Santé;4;2.65025907754898;;;;;;-;;;
2420;Médecine-TIC;1;1.36109757423401;;;;;;-;;;
2647;Médecine, biotechnologies;2;3.61642754077911;;;;;;,;;;
2170;Médecine, santé;56;58.3857033848763;;;;;;,;;;
487;Médecine, santé, sciences de la vie;1;0.87170797586441;;;;;;,;;;
1700;Médecine, Sciences Humaines;1;2.00575375556946;;;;;;,;;;
1552;Medical;3;2.12701070308685;;;;334;;;;;
1033;MEMS;1;0.622888624668121;;;;;;;;;
1940;Mer;1;0.75788551568985;;;;;;;;;
2493;Merlion 2006;1;0.797948598861694;;;;;;;;;oui
1038;Métallurgie;2;1.97212797403336;;;;;;;;;
1273;Météo;1;0.50670200586319;;;;977;;;;;
977;Météorologie;7;3.84035387635231;;;;;;;;;
4141;Météorologie spatiale;1;0.555670499801636;;;;;;;;;
525;Méthodes de recherche;1;0.87294739484787;;;;;;;;;
2016;Métrologie;3;2.33064275979996;;;;;;;;;
4448;Micro;2;1.64886325597763;;;;;;;;;
4461;Micro & nanotechnologies;1;0.607083678245544;;;;;; & ;;;
790;Micro-electronique;2;2.26233911514282;;;;536;;;;;
588;Micro-nanotechnologie;2;2.96525740623474;;;;;;;;;
536;Microélectronique;13;9.64063253998756;;;;;;;;;
4303;Microgravité;1;0.445490002632141;;;;;;;;;
1859;Microsystèmes;2;4.03516042232513;;;;;;;;;
1066;Microtechnologie;5;4.52621129155159;;;;;;;;;
1321;Minéralogie;2;1.1772792339325;;;;;;;;;
1596;Mines;6;5.89133268594742;;;;;;;;;
4395;Miscellanées;1;0.502665340900421;;;;;;;;;
933;Mobilité;2;1.2655081152916;;;;;;;;;
