"doc_id";"titre";"ME";"MEEnf";"ICE";"ICEEnf";"nbDoc";"nbTag";"nbUti";"nbDocEnf";"nbTagEnf";"nbUtiEnf"
"811";"Jus de raisin : vers l'émergence d'une véritable filière avec Fijus-Raisol";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"825";"Le début de Jeanne Hulit à la tête de la SBA compliqué par la fermeture du gouvernement";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"854";"Des chercheurs et des acteurs sociaux se penchent sur le problème de la gestion de l'eau en Méditerranée";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"862";"Un nouveau centre de recherche dédié aux matériaux reçoit 10 millions d'euros";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"865";"Un diagnostique précoce grâce aux nanosciences";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"871";"Présentation du service de coopération scientifique et universitaire";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"874";"La société TKS Technology A/S récompensée pour ses équipements destinés aux personnes handicapées";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"877";"L'Euroscience Open Forum 2014 se déroulera à Copenhague";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"880";"Invitation de collaborations en Arctique par l'Université de Copenhague";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"883";"Evénements et conférences";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"903";"Une biobanque unique en Europe au CHUV de Lausanne";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"906";"Un nouveau marqueur de cellules cancéreuses";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"921";"Nouveau diagnostic thermographique des cancers de la peau";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"933";"Syrie : les universités britanniques ouvrent leurs portes aux refugiés";"10";"1";"0.050000";"1.000000";"1";"5";"2";"1";"1";"1"
"935";"Santé et agronomie : les deux autres gagnants de l'été";"8";"4";"0.015625";"0.250000";"1";"4";"2";"2";"2";"1"
"942";"Futurelearn dévoile les premiers Moocs britanniques";"8";"1";"0.062500";"1.000000";"1";"4";"2";"1";"1";"1"
"944";"Festival Britannique de la Science";"10";"1";"0.050000";"1.000000";"1";"5";"2";"1";"1";"1"
"949";"Des smart-planchers pour les smart-cities";"3";"4";"0.041667";"0.250000";"1";"3";"1";"2";"2";"1"
"952";"De l'or vert pour l'Open Access britannique";"8";"1";"0.062500";"1.000000";"1";"4";"2";"1";"1";"1"
"954";"Changement climatique et communication scientifique : faire simple sans être simpliste ?";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"962";"Les demandes de budget du spatial japonais pour l'année fiscale 2014";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"971";"Le traitement de l'information sensorielle débuterait déjà au niveau des organes sensoriels";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"989";"Recherche, Innovation et Formations sur le Big Data aux Etats-Unis";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"991";"Le Data Analytics : un enjeu stratégique pour les utilities de demain";"25";"1";"0.020000";"1.000000";"1";"5";"5";"1";"1";"1"
"1002";"Une coopération européenne contre les maladies infectieuses";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"1026";"Aperçu du secteur agroalimentaire de la région de Berlin-Brandebourg";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"1031";"Un nouveau rapport établit le classement des pays les plus heureux - le Canada arrive en 6e place - et révèle six facteurs clés à l'appui du bonheur";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"1039";"Leader dans le domaine de la génétique de la douleur";"12";"1";"0.041667";"1.000000";"1";"4";"3";"1";"1";"1"
"1063";"Le Japon obtient son premier contrat de lancement de satellite commercial";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1074";"Transposer aux autres secteurs économiques les progrès des services anticipés du numérique";"8";"1";"0.062500";"1.000000";"1";"4";"2";"1";"1";"1"
"1076";"Les conséquences de la fermeture des activités gouvernementales dans le domaine de la R&D";"9";"4";"0.013889";"0.250000";"1";"3";"3";"2";"2";"1"
"1079";"Complexité des systèmes urbains : quelles perspectives ?";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"1081";"Un million d'euros pour la recherche sur les transistors transparents";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1087";"En bref, trois projets TIC européens : Vêtements intelligents - CaaS et cloud computing - Réseau de téléphonie mobile décentralisé";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1099";"Des bactéries contre les marées noires";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"1102";"Cinq nouveaux groupes de recherche germano-chinois";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1108";"Um vaccin brésilien contre le SIDA va être testé sur des singes";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"1114";"Evaluation et soutien à l'interdisciplinarité au Brésil";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1117";"Prix Balzan : 3 lauréats sur 4 sont français";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"1124";"Une protéine pour polariser les neurones durant leur migration";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1127";"Un coeur en or";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"1134";"Les ondes radios utilisées pour mesurer les changements climatiques";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"1145";"Yahoo Japon développe un moteur de recherche pour les imprimantes 3D";"3";"1";"0.166667";"1.000000";"1";"3";"1";"1";"1";"1"
"1150";"Trois microsatellites sélectionnés pour être lancés avec Hayabusa 2";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1153";"Projet de démonstrateur de méthode de désorbitation de débris spatiaux";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1166";"UCSF, le futur de San Francisco";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1174";"Biocarburant : produire de l'isobutanol à partir des déchets du maïs";"20";"4";"0.006250";"0.250000";"1";"5";"4";"2";"2";"1"
"1189";"Nouveau record du monde pour les cellules solaires : un rendement de 44,7%";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"1192";"Lancement d'un projet sur la sécurité du cloud";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1207";"Conférence sur la sécurité du futur du 17 au 19 septembre 2013 à Berlin";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1216";"Vers une amélioration du vaccin contre la coqueluche";"10";"4";"0.012500";"0.250000";"1";"5";"2";"2";"2";"1"
"1237";"Opsona Therapeuthics, entreprise issue de Trinity College Dublin, lève 33 millions d'euros";"10";"4";"0.012500";"0.250000";"1";"5";"2";"2";"2";"1"
"1240";"Les cartes irlandaises du 17ème siècle rassemblées dans une base de données";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1245";"De nouveaux capteurs pour améliorer les radiothérapies";"10";"4";"0.012500";"0.250000";"1";"5";"2";"2";"2";"1"
"1251";"Une nouvelle protéine pour protéger les communications nerveuses";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"1253";"Un étudiant du Technion remporte les Olympiades de Robotique des Etats-Unis";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"1274";"Mission spatiale Shenzhou X : la Chine poursuit son avancée dans le domaine des vols habités";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"1276";"La Chine construit un dispositif laser à rayonnement ultraviolet profond";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"1278";"Conférence internationale sur les infections humaines par les nouveaux virus influenza";"18";"1";"0.027778";"1.000000";"1";"6";"3";"1";"1";"1"
"1280";"Rapport sur le marché de la sécurité des systèmes d'information";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1286";"Projet européen de développement d'un exosquelette pour l'industrie";"8";"4";"0.015625";"0.250000";"1";"4";"2";"2";"2";"1"
"1301";"Electromobilité : piles à combustible, réseaux et véhicules intelligents, étude sociologique";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"1324";"Lutte féroce des cellules lors du développement embryonnaire précoce";"8";"1";"0.062500";"1.000000";"1";"4";"2";"1";"1";"1"
"1329";"L'Espagne aux avant-postes de la recherche sur les cellules souches";"8";"4";"0.015625";"0.250000";"1";"4";"2";"2";"2";"1"
"1332";"Deux des trois meilleurs centres mondiaux de recherche en physique et astronomie sont espagnols";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1345";"Une technologie pour la valorisation des huiles de moteurs usagées a été mise au point par les scientifiques de l'Université Slovaque de Technologie";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1348";"Un membre du laboratoire L3i de l'université de La Rochelle invité à la Nuit des Chercheurs de Bratislava";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1351";"Objectif \"Horizon 2020\", épisode 1 : présentation de l'Institut d'Ethnologie de l'Académie Slovaque des Sciences";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1354";"Les tremblements de terre pourraient devenir plus fréquents en Slovaquie";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1360";"Des herbiers historiques rendus disponibles en version numérique par la Bibliothèque Nationale Slovaque";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1380";"India-France Technology summit : les derniers avancements";"8";"1";"0.062500";"1.000000";"1";"4";"2";"1";"1";"1"
"1388";"Les bactéries communiquent leur résistance aux antibiotiques";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"1391";"Le Manganèse dans tous ses états";"9";"4";"0.013889";"0.250000";"1";"3";"3";"2";"2";"1"
"1401";"Des scientifiques arrivent à schématiser les interactions entre les molécules de transmission de signaux cellulaires et leurs cibles";"16";"1";"0.031250";"1.000000";"1";"4";"4";"1";"1";"1"
"1408";"Une nouvelle école de médecine en partenariat avec l'Imperial College of London";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1420";"Présence française soutenue au sein des conférences à Singapour";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"1440";"Progrès récents concernant les matériaux thermoélectriques aux Etats-Unis";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"1442";"Les Objets Connectés : la nouvelle génération d'Internet ?";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1448";"Une étude faite par l'IST a démontré que les trous noirs peuvent \"s'absorber\"";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1451";"Une nouvelle technologie, développée par l'Université d'Aveiro, lancée dans l'espace";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1457";"Le Centre d'Astrophysique de l'Université de Porto au top des publications scientifiques nationales";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"1460";"La fusion du SEA LIFE Porto et du CIIMAR pour étudier la côte Nord portugaise";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
